player_id,team,position,season
00-0023459,NYJ,QB,2024
00-0026143,ATL,QB,2024
00-0026158,IND,QB,2024
00-0026300,BAL,QB,2024
00-0026498,LA,QB,2024
00-0027973,CAR,QB,2024
00-0028118,NYJ,QB,2024
00-0028986,HOU,QB,2024
00-0029263,PIT,QB,2024
00-0029604,ATL,QB,2024
00-0030565,SEA,QB,2024
00-0031237,DET,QB,2024
00-0031280,NO,QB,2024
00-0031345,LA,QB,2024
00-0031503,CLE,QB,2024
00-0031800,LAC,QB,2024
00-0032156,TEN,QB,2024
00-0032268,WAS,QB,2024
00-0032434,SF,QB,2024
00-0032436,WAS,QB,2024
00-0032792,DET,QB,2024
00-0032950,KC,QB,2024
00-0033077,DAL,QB,2024
00-0033106,DET,QB,2024
00-0033119,NE,QB,2024
00-0033275,SEA,QB,2024
00-0033319,MIN,QB,2024
00-0033537,CLE,QB,2024
00-0033662,DAL,QB,2024
00-0033869,BUF,QB,2024
00-0033873,KC,QB,2024
00-0033936,JAX,QB,2024
00-0033949,SF,QB,2024
00-0033958,ATL,QB,2024
00-0034177,NYG,QB,2024
00-0034401,BUF,QB,2024
00-0034438,CIN,QB,2024
00-0034577,PIT,QB,2024
00-0034737,LAC,QB,2024
00-0034771,TEN,QB,2024
00-0034796,BAL,QB,2024
00-0034855,TB,QB,2024
00-0034857,BUF,QB,2024
00-0034869,MIN,QB,2024
00-0034899,JAX,QB,2024
00-0034955,MIN,QB,2024
00-0035100,CIN,QB,2024
00-0035146,WAS,QB,2024
00-0035228,ARI,QB,2024
00-0035251,DAL,QB,2024
00-0035264,DEN,QB,2024
00-0035282,LAC,QB,2024
00-0035289,LV,QB,2024
00-0035704,NYG,QB,2024
00-0035710,MIN,QB,2024
00-0035993,MIA,QB,2024
00-0036197,DET,QB,2024
00-0036212,MIA,QB,2024
00-0036264,GB,QB,2024
00-0036312,LV,QB,2024
00-0036355,LAC,QB,2024
00-0036384,NO,QB,2024
00-0036389,PHI,QB,2024
00-0036442,CIN,QB,2024
00-0036679,BUF,QB,2024
00-0036879,IND,QB,2024
00-0036898,HOU,QB,2024
00-0036928,TB,QB,2024
00-0036929,PHI,QB,2024
00-0036945,PIT,QB,2024
00-0036971,JAX,QB,2024
00-0036972,JAX,QB,2024
00-0037012,DAL,QB,2024
00-0037013,DEN,QB,2024
00-0037068,JAX,QB,2024
00-0037077,SEA,QB,2024
00-0037175,BUF,QB,2024
00-0037324,KC,QB,2024
00-0037327,MIA,QB,2024
00-0037834,SF,QB,2024
00-0038102,PHI,QB,2024
00-0038108,CLE,QB,2024
00-0038122,LV,QB,2024
00-0038128,GB,QB,2024
00-0038132,MIN,QB,2024
00-0038150,NYG,QB,2024
00-0038385,LA,QB,2024
00-0038391,GB,QB,2024
00-0038400,PHI,QB,2024
00-0038416,CHI,QB,2024
00-0038476,NYG,QB,2024
00-0038550,DET,QB,2024
00-0038579,LV,QB,2024
00-0038582,ARI,QB,2024
00-0038583,CLE,QB,2024
00-0038598,SEA,QB,2024
00-0038637,LAC,QB,2024
00-0038658,NYJ,QB,2024
00-0038998,NO,QB,2024
00-0039107,LA,QB,2024
00-0039150,CAR,QB,2024
00-0039152,TEN,QB,2024
00-0039163,HOU,QB,2024
00-0039164,IND,QB,2024
00-0039238,TB,QB,2024
00-0039331,ATL,QB,2024
00-0039334,NYJ,QB,2024
00-0039376,NO,QB,2024
00-0039398,NE,QB,2024
00-0039464,CHI,QB,2024
00-0039482,MIA,QB,2024
00-0039501,CAR,QB,2024
00-0039534,LV,QB,2024
00-0039575,IND,QB,2024
00-0039577,HOU,QB,2024
00-0039597,TB,QB,2024
00-0039633,CIN,QB,2024
00-0039657,LAC,QB,2024
00-0039677,WAS,QB,2024
00-0039699,SF,QB,2024
00-0039723,ATL,QB,2024
00-0039732,DEN,QB,2024
00-0039797,NYJ,QB,2024
00-0039801,BAL,QB,2024
00-0039851,NE,QB,2024
00-0039910,WAS,QB,2024
00-0039917,ATL,QB,2024
00-0039918,CHI,QB,2024
00-0039923,MIN,QB,2024
